"Chromosome","Frame","N","Min","Q1","Median","Mean","Q3","Max","SD","P95","P99","Q_1Kb","Q_5Kb","Q_10Kb"
"NC_072398.2","1",3798785,3,15,39,57.7114690618184,75,5421,65.5586597479644,177,300,"Q100","Q100","Q100"
"NC_072398.2","2",3801793,3,15,39,57.6633585784392,75,9990,65.7266401273522,177,300,"Q100","Q100","Q100"
"NC_072398.2","3",3799878,3,15,39,57.6942620263072,75,12057,66.3120073877975,177,300,"Q100","Q100","Q100"
"NC_072398.2","-1",3778152,3,15,39,58.0500093696601,78,9972,66.3054531940304,180,306,"Q100","Q100","Q100"
"NC_072398.2","-2",3779150,3,15,39,58.0333249540241,78,7179,66.5654987553668,180,306,"Q100","Q100","Q100"
"NC_072398.2","-3",3784172,3,15,39,57.9519614858944,75,10035,66.2519850127589,177,303,"Q100","Q100","Q100"
"NC_072401.2","1",3437955,3,15,36,52.5685240208206,69,7809,59.4554191424141,159,267,"Q100","Q100","Q100"
"NC_072401.2","2",3436952,3,15,36,52.5851268798633,69,6405,59.5459306245576,159,267,"Q100","Q100","Q100"
"NC_072401.2","3",3440214,3,15,36,52.5325613464744,69,9456,59.3514323846931,159,267,"Q100","Q100","Q100"
"NC_072401.2","-1",3435902,3,15,36,52.6019033720985,69,7479,59.4573283615477,159,267,"Q100","Q100","Q100"
"NC_072401.2","-2",3440357,3,15,36,52.5297136314633,69,7542,58.8929284496685,159,264,"Q100","Q100","Q100"
"NC_072401.2","-3",3436821,3,15,36,52.5869895464442,69,5430,59.2932598490009,162,267,"Q100","Q100","Q100"
"NC_072402.2","1",3106530,3,15,36,54.4314096435573,72,10773,61.4468188229746,165,279,"Q100","Q100","Q100"
"NC_072402.2","2",3105757,3,15,36,54.4465854862438,72,6585,61.0435103072464,165,276,"Q100","Q100","Q100"
"NC_072402.2","3",3103080,3,15,36,54.495576008353,72,11760,61.4107864689866,165,279,"Q100","Q100","Q100"
"NC_072402.2","-1",3113736,3,15,36,54.295547214022,72,10530,61.3052210443111,165,276,"Q100","Q100","Q100"
"NC_072402.2","-2",3116017,3,15,36,54.2532653063189,72,10773,61.4020057178421,165,276,"Q100","Q100","Q100"
"NC_072402.2","-3",3112343,3,15,36,54.3210642271755,72,11760,60.963363109956,165,276,"Q100","Q100","Q100"
"NC_072403.2","1",3169688,3,15,36,54.6593910820245,72,6063,60.9393021559166,165,276,"Q100","Q100","Q100"
"NC_072403.2","2",3169261,3,15,36,54.6665629621543,72,5283,60.8346537951197,165,279,"Q100","Q100","Q100"
"NC_072403.2","3",3169653,3,15,36,54.6596476018037,72,7173,60.8740968137064,165,279,"Q100","Q100","Q100"
"NC_072403.2","-1",3186960,3,15,36,54.3481380375028,72,5505,60.0609106784353,165,276,"Q100","Q100","Q100"
"NC_072403.2","-2",3189020,3,15,36,54.3104078996056,72,5538,60.1003607808517,165,273,"Q100","Q100","Q100"
"NC_072403.2","-3",3192281,3,15,36,54.2525664250735,72,4197,59.9693904279562,165,276,"Q100","Q100","Q100"
"NC_072404.2","1",2851389,3,15,39,58.0853534891241,78,27447,69.5438849671441,177,297,"Q100","Q100","Q100"
"NC_072404.2","2",2847405,3,15,39,58.1712148429886,78,42267,70.7382352221688,177,297,"Q100","Q100","Q100"
"NC_072404.2","3",2852422,3,15,39,58.0628395798378,78,10734,66.3373466490935,177,297,"Q100","Q100","Q100"
"NC_072404.2","-1",2913405,3,15,39,56.7813901603107,75,8280,64.7181576232843,171,291,"Q100","Q100","Q100"
"NC_072404.2","-2",2909990,3,15,39,56.8524335135172,75,7593,64.8553584912547,171,291,"Q100","Q100","Q100"
"NC_072404.2","-3",2911399,3,15,39,56.8234834868048,75,8007,64.7749882927948,171,291,"Q100","Q100","Q100"
"NC_072405.2","1",2610061,3,15,36,56.4813247659729,75,6102,64.7720933343037,171,285,"Q100","Q100","Q100"
"NC_072405.2","2",2610542,3,15,36,56.4708688846991,75,4434,64.1369288246627,171,285,"Q100","Q100","Q100"
"NC_072405.2","3",2613470,3,15,36,56.4037191932565,75,3852,64.2911267750393,171,285,"Q100","Q100","Q100"
"NC_072405.2","-1",2646647,3,15,36,55.6585305860585,75,9735,63.345481590694,168,285,"Q100","Q100","Q100"
"NC_072405.2","-2",2648079,3,15,36,55.6267460298579,75,9711,63.1462092691401,168,282,"Q100","Q100","Q100"
