"Chromosome","Frame","N","Min","Q1","Median","Mean","Q3","Max","SD","P95","P99","Q_1Kb","Q_5Kb","Q_10Kb"
"NC_071985.2","1",3839206,3,15,39,57.7229718853325,75,5004,66.2943678116325,177,297,"Q100","Q100","Q100"
"NC_071985.2","2",3839054,3,15,39,57.7251507793326,75,11079,66.6962969515298,177,297,"Q100","Q100","Q100"
"NC_071985.2","3",3836612,3,15,39,57.7636956773319,75,9963,66.5314812603389,177,297,"Q100","Q100","Q100"
"NC_071985.2","-1",3837319,3,15,39,57.7511663742316,75,7116,66.9212479147912,177,300,"Q100","Q100","Q100"
"NC_071985.2","-2",3831940,3,15,39,57.8361388748258,75,8400,66.8600248069454,177,300,"Q100","Q100","Q100"
"NC_071985.2","-3",3830681,3,15,39,57.8564918352638,75,21309,67.678693464505,177,300,"Q100","Q100","Q100"
"NC_071988.2","1",3741231,3,15,36,53.7288309649952,72,8475,60.7446676042166,162,270,"Q100","Q100","Q100"
"NC_071988.2","2",3737912,3,15,36,53.7792821232817,72,8361,61.3532850641043,165,273,"Q100","Q100","Q100"
"NC_071988.2","3",3738525,3,15,36,53.7705817133762,72,8217,60.8987804147538,165,273,"Q100","Q100","Q100"
"NC_071988.2","-1",3742494,3,15,36,53.7108206452702,72,8247,60.9493324289157,165,264,"Q100","Q100","Q100"
"NC_071988.2","-2",3747847,3,15,36,53.6304174103159,72,8190,60.4904941135465,162,264,"Q100","Q100","Q100"
"NC_071988.2","-3",3745039,3,15,36,53.6727780404957,72,8082,60.5519361922922,162,264,"Q100","Q100","Q100"
"NC_071989.2","1",3283455,3,15,36,54.7940836710112,72,10533,62.1920835372245,168,276,"Q100","Q100","Q100"
"NC_071989.2","2",3286497,3,15,36,54.7394870587133,72,5394,61.7877781133942,165,276,"Q100","Q100","Q100"
"NC_071989.2","3",3288261,3,15,36,54.7078662551422,72,5343,61.7232595129971,165,276,"Q100","Q100","Q100"
"NC_071989.2","-1",3273177,3,15,36,54.9897875977987,75,3915,61.6422792084203,168,276,"Q100","Q100","Q100"
"NC_071989.2","-2",3276071,3,15,36,54.9372089310641,72,5343,61.1505362952504,168,276,"Q100","Q100","Q100"
"NC_071989.2","-3",3272303,3,15,36,55.0046190710335,72,3852,61.4319299050813,168,276,"Q100","Q100","Q100"
"NC_071990.2","1",2991264,3,15,36,54.5263266632434,72,6936,62.0634233183604,165,276,"Q100","Q100","Q100"
"NC_071990.2","2",2990798,3,15,36,54.5353671495033,72,10893,62.6303059394654,165,276,"Q100","Q100","Q100"
"NC_071990.2","3",2993871,3,15,36,54.4762913966567,72,7905,61.6620980635346,165,276,"Q100","Q100","Q100"
"NC_071990.2","-1",2995211,3,15,36,54.4454250468498,72,10938,61.9906818092323,165,276,"Q100","Q100","Q100"
"NC_071990.2","-2",2999289,3,15,36,54.3662824756134,72,10983,61.7296876781468,165,276,"Q100","Q100","Q100"
"NC_071990.2","-3",2998302,3,15,36,54.3850532734861,72,11259,62.2654829749846,165,276,"Q100","Q100","Q100"
"NC_071991.2","1",2643676,3,15,36,56.1976267137122,75,44370,72.8715003358499,171,291,"Q100","Q100","Q100"
"NC_071991.2","2",2641095,3,15,36,56.2547466107807,75,11886,66.7417367979088,171,291,"Q100","Q100","Q100"
"NC_071991.2","3",2641036,3,15,36,56.2572217872078,75,11976,66.7640683385968,171,291,"Q100","Q100","Q100"
"NC_071991.2","-1",2643056,3,15,36,56.2133689184036,75,7239,65.6227022675535,171,291,"Q100","Q100","Q100"
"NC_071991.2","-2",2645594,3,15,36,56.1549599069245,75,7608,65.2681749299588,171,291,"Q100","Q100","Q100"
