NC_072398.2	169	10204	-3
NC_072398.2	170	10628	3
NC_072398.2	246	10218	-1
NC_072398.2	247	10237	2
NC_072398.2	41810	48989	-2
NC_072398.2	2333913	2338947	-1
NC_072398.2	2335570	2341621	-3
NC_072398.2	2336216	2341802	-2
NC_072398.2	96839494	96846559	2
NC_072398.2	96882521	96894578	3
NC_072398.2	96981866	96993533	3
NC_072398.2	97092603	97098024	1
NC_072398.2	189383654	189388793	3
NC_072398.2	191638480	191643976	-3
NC_072398.2	215268598	215276956	-3
NC_072398.2	229589345	229594451	-2
NC_072398.2	229589356	229594504	-3
NC_072398.2	229589363	229594514	3
NC_072398.2	229589379	229594386	-1
NC_072398.2	229589380	229594408	2
NC_072401.2	692171	697262	3
NC_072401.2	695163	702972	1
NC_072401.2	699640	705043	2
NC_072401.2	701927	711383	3
NC_072401.2	1833093	1840572	-1
NC_072401.2	14071173	14077491	-1
NC_072401.2	101106457	101111887	-3
NC_072401.2	114825986	114832346	3
NC_072401.2	126504697	126509896	2
NC_072401.2	145149570	145154961	-1
NC_072401.2	188189599	188195524	2
NC_072401.2	188189693	188195423	3
NC_072401.2	188190255	188195403	1
NC_072401.2	191661956	191669498	-2
NC_072401.2	191662044	191668449	-1
NC_072401.2	191662045	191668450	2
NC_072401.2	191662236	191669499	1
NC_072402.2	49	11809	-3
NC_072402.2	50	11810	3
NC_072402.2	866	11639	-2
NC_072402.2	867	11640	1
NC_072402.2	2544136	2551237	-3
NC_072402.2	2544201	2551242	-1
NC_072402.2	2544206	2551310	-2
NC_072402.2	32510847	32516244	-1
NC_072402.2	36308310	36318840	-1
NC_072402.2	43849758	43856454	-1
NC_072402.2	110558887	110565472	2
NC_072402.2	178653648	178662882	-1
NC_072402.2	178653748	178662853	-3
NC_072402.2	178653926	178662845	-2
NC_072403.2	18067071	18073134	1
NC_072403.2	36904509	36910260	1
NC_072403.2	52569716	52575818	3
NC_072403.2	62470121	62475659	-2
NC_072403.2	99251360	99258533	3
NC_072403.2	154622562	154628067	-1
NC_072403.2	163305732	163310799	1
NC_072403.2	182267116	182272399	2
NC_072403.2	182267579	182272814	3
NC_072404.2	5942956	5951236	-1
NC_072404.2	6405120	6412713	-2
