clade	species	start	end	gc_content	gc_stretch_count
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	0	60	0.4333	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	30	90	0.4833	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	60	120	0.4667	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	90	150	0.5333	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	120	180	0.5833	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	150	210	0.6333	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	180	240	0.7	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	210	270	0.6167	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	240	300	0.55	1
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	270	330	0.5833	1
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	300	360	0.5	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	330	390	0.4333	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	360	420	0.5667	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	390	450	0.6167	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	420	480	0.6	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	450	510	0.5667	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	480	540	0.5333	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	510	570	0.5333	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	540	600	0.5	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	570	630	0.4833	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	600	660	0.45	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	630	690	0.4667	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	660	720	0.4833	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	690	750	0.4833	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	720	780	0.45	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	750	810	0.3833	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	780	840	0.4333	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	810	870	0.5333	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	840	900	0.5667	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	870	930	0.5	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	900	960	0.5	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	930	990	0.5833	2
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	960	1020	0.6167	1
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	990	1050	0.5667	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	1020	1080	0.5167	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	1050	1110	0.5	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	1080	1140	0.4833	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	1110	1170	0.4667	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	1140	1200	0.4833	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	1170	1230	0.5167	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	1200	1260	0.5333	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	1230	1290	0.5333	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	1260	1320	0.4833	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	1290	1350	0.5	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	1320	1380	0.55	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	1350	1410	0.55	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	1380	1440	0.55	0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	1410	1470	0.55	0
