clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_CCT	codon_AAC	codon_TAC	codon_CTA	codon_ACC	codon_TAT	codon_CAC	codon_CGC	codon_CAT	codon_CTG	codon_GAA	codon_GGG	codon_AAT	codon_ATC	codon_TGC	codon_GTC	codon_TGT	codon_ATG	codon_AAG	codon_ATA	codon_TCT	codon_ACA	codon_ACG	codon_CCA	codon_GTA	codon_TTA	codon_AGA	codon_TGG	codon_AAA	codon_GGA	codon_GCT	codon_CGT	codon_TTG	codon_TCG	codon_ATT	codon_CAA	codon_GTG	codon_GCA	codon_GAT	codon_TTC	codon_CCC	codon_ACT	codon_AGT	codon_GAG	codon_TCA	codon_GTT	codon_TCC	codon_AGC	codon_CAG	codon_AGG	codon_TTT	codon_GAC	codon_CTT	codon_GCC	codon_CGG	codon_GGC	codon_GGT	codon_CTC	codon_CCG	codon_CGA	codon_GCG	codon_TAA	codon_TGA	codon_TAG
NC_073228.2	3::NC_073228.2:3980-11498	7518	False	0.4969	0	48.0	50.0	2.0	1178.0	1176.0	4.0	1.0	1.0	5.0	2.0	3.0	1.0	2.0	4.0	2.0	1.0	1.0	1.0	1.0	2.0	4.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0																														
NC_073228.2	3::NC_073228.2:158858669-158868704	10035	False	0.2357	0			213.0			561.0	187.0		298.0				7.0		87.0		217.0	107.0		559.0		397.0	1.0		117.0	107.0							96.0		205.0	2.0	96.0	88.0																										
NC_073228.2	1::NC_073228.2:158859195-158868738	9543	False	0.2378	0			201.0			535.0	181.0		286.0				3.0		88.0		196.0	99.0		531.0		383.0	1.0		108.0	101.0						1.0	94.0		192.0	2.0	92.0	87.0																										
NC_073228.2	2::NC_073228.2:158859259-158868676	9417	False	0.2391	0			197.0			528.0	182.0		282.0				2.0		88.0		195.0	103.0		515.0		379.0			105.0	98.0						1.0	93.0		192.0	2.0	89.0	88.0																										
NC_073235.2	2::NC_073235.2:69716140-69725548	9408	False	0.3888	2	64.0	41.0	13.0	21.0	48.0	41.0	24.0	5.0	58.0	35.0	244.0	23.0	92.0	46.0	11.0	35.0	20.0	60.0	107.0	62.0	84.0	107.0	8.0	67.0	41.0	45.0	63.0	24.0	205.0	57.0	45.0	11.0	33.0	6.0	92.0	111.0	39.0	49.0	111.0	21.0	31.0	81.0	66.0	83.0	64.0	67.0	46.0	30.0	78.0	29.0	71.0	49.0	50.0	21.0	4.0	19.0	37.0	22.0	6.0	11.0	2.0			
NC_073235.2	-2::NC_073235.2:81030956-81048194	17238	False	0.4266	2	30.0	209.0	114.0		127.0	90.0	105.0	7.0	58.0	67.0	70.0	41.0	197.0	209.0	117.0	90.0	185.0	39.0	104.0	138.0	133.0	43.0	48.0	97.0	51.0		103.0	213.0	74.0	39.0	62.0	13.0	58.0	33.0	144.0	40.0	20.0	33.0	83.0	331.0	33.0	115.0	171.0	44.0		88.0	160.0	134.0	68.0	152.0	282.0	103.0	148.0	92.0	6.0	82.0	110.0	118.0	22.0	3.0	19.0	57.0	87.0	37.0
NC_073235.2	2::NC_073235.2:88232227-88241236	9009	False	0.3484	2	52.0	53.0	17.0	32.0	35.0	50.0	22.0	1.0	49.0	24.0	187.0	15.0	129.0	38.0	11.0	24.0	37.0	68.0	91.0	74.0	97.0	78.0	5.0	57.0	38.0	87.0	48.0	8.0	194.0	31.0	60.0	6.0	66.0	3.0	111.0	92.0	34.0	52.0	88.0	19.0	11.0	75.0	67.0	55.0	99.0	69.0	39.0	36.0	43.0	23.0	89.0	58.0	62.0	22.0	3.0	16.0	22.0	24.0	2.0	4.0	1.0			
NC_073235.2	1::NC_073235.2:88243368-88252827	9459	False	0.3367	1	38.0	43.0	19.0	36.0	28.0	70.0	17.0	1.0	53.0	30.0	176.0	13.0	131.0	36.0	9.0	19.0	36.0	58.0	71.0	101.0	114.0	77.0	2.0	61.0	52.0	86.0	62.0	7.0	199.0	33.0	47.0	2.0	60.0	4.0	139.0	102.0	47.0	54.0	135.0	35.0	14.0	60.0	65.0	66.0	122.0	93.0	40.0	40.0	48.0	24.0	85.0	49.0	55.0	18.0	1.0	10.0	22.0	27.0	2.0	7.0	2.0			
NC_073234.2	-2::NC_073234.2:60790981-60802768	11787	False	0.4909	0	21.0	56.0	42.0		41.0	74.0	262.0	2.0	8.0	6.0	1.0		42.0	9.0	68.0		608.0	2.0	5.0	2.0	82.0		1.0	1.0	4.0		62.0	132.0	12.0	3.0	3.0	13.0	30.0	1.0	23.0	11.0		1.0	3.0	138.0	323.0	30.0	285.0	6.0		1.0	456.0	267.0	12.0	22.0	45.0	10.0	3.0	13.0	1.0	5.0	19.0	47.0	7.0	4.0		43.0	432.0	129.0
NC_073234.2	3::NC_073234.2:60790982-60799271	8289	False	0.5091	0	247.0	1.0		28.0	95.0	1.0				4.0	1.0	9.0	21.0	32.0		386.0	8.0	2.0		14.0	45.0	30.0	3.0	371.0	28.0	3.0	3.0			1.0	238.0	2.0	1.0	3.0	51.0	1.0	12.0	16.0	290.0	15.0	7.0	143.0	123.0	6.0	71.0	247.0	1.0	12.0			27.0	21.0	37.0	12.0		4.0	76.0	8.0	1.0	4.0	1.0			
NC_073234.2	2::NC_073234.2:146051227-146059474	8247	False	0.5236	0	140.0	2.0	10.0	1.0	461.0	5.0	482.0		315.0	2.0		1.0		304.0	2.0	3.0	3.0	1.0	1.0	2.0	4.0	9.0	1.0	349.0	3.0	4.0			2.0	1.0	1.0	2.0			7.0	4.0	1.0		2.0	3.0	1.0	5.0		2.0	451.0	3.0	1.0	2.0	3.0		9.0	1.0	4.0	1.0				137.0		1.0				
NC_073234.2	1::NC_073234.2:146051436-146059089	7653	False	0.5329	0	136.0	2.0	1.0	1.0	470.0	1.0	449.0		280.0					299.0			2.0			1.0		1.0	1.0	337.0											1.0										432.0												2.0	135.0						
NC_073234.2	3::NC_073234.2:146051453-146059319	7866	False	0.5283	0	137.0	1.0	2.0	3.0	476.0	2.0	474.0		306.0					302.0				2.0			2.0	3.0		316.0	2.0	4.0		1.0	1.0				1.0		3.0	1.0				1.0		5.0			429.0		2.0				5.0	1.0	1.0		1.0			136.0	2.0					
