clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_TGC	codon_CAT	codon_AAT	codon_AAG	codon_TCT	codon_CTC	codon_AAA	codon_AAC	codon_CCC	codon_TGG	codon_ACT	codon_GTA	codon_TCA	codon_AGG	codon_GGT	codon_TGT	codon_CAC	codon_GAT	codon_GGA	codon_ATT	codon_AGC	codon_AGT	codon_GAA	codon_TTT	codon_GGC	codon_GAG	codon_GGG	codon_GAC	codon_GCT	codon_CGT	codon_GTG	codon_ATG	codon_CTG	codon_GCG	codon_TTG	codon_GTC	codon_GTT	codon_GCA	codon_ATC	codon_CCA	codon_TCG	codon_TCC	codon_ACC	codon_ACA	codon_ACG	codon_GCC	codon_TTC	codon_CCT	codon_CTA	codon_CTT	codon_CGA	codon_CAA	codon_CCG	codon_TAC	codon_CAG	codon_TAT	codon_CGC	codon_ATA	codon_AGA	codon_TTA	codon_CGG
NC_060945.1	3::NC_060945.1:41607428-41614955(+)	7527	False	0.5892	0	2.0	3.0	5.0	114.0	2.0	1.0	5.0	3.0	1.0	4.0	1.0	92.0	1.0	7.0	537.0	7.0	1.0	108.0	117.0	1.0	1.0	113.0	61.0	1.0	5.0	4.0	104.0	2.0	4.0	1.0	1019.0	163.0	8.0	4.0	2.0	1.0	2.0	1.0	1.0																						
NC_060945.1	-2::NC_060945.1:41607447-41617941(-)	10494	False	0.5876	0	4.0	108.0	4.0		3.0	121.0	1.0	12.0	96.0		124.0		241.0	1.0	1.0	4.0	604.0	1.0			7.0	3.0	1.0	8.0				1.0	3.0		1.0		1.0		3.0	4.0	1.0	9.0	121.0	941.0	4.0	95.0	541.0	10.0	2.0	8.0	66.0	124.0	91.0	59.0	2.0	2.0	1.0	48.0	6.0	6.0	3.0	1.0			
NC_060945.1	-3::NC_060945.1:41607470-41617934(-)	10464	False	0.5879	0	1.0	164.0	1.0			70.0	1.0	2.0	106.0	1.0	113.0	1.0	167.0				1019.0	1.0		5.0	4.0			4.0				1.0	1.0		1.0	3.0	8.0		1.0	2.0	3.0	8.0	109.0	558.0	3.0	142.0	539.0	12.0	1.0	5.0	62.0	74.0	62.0	113.0	3.0	9.0	1.0	91.0	9.0		4.0	2.0	1.0		
NC_060945.1	-1::NC_060945.1:41607535-41617975(-)	10440	False	0.5884	0	5.0	114.0			1.0	60.0	3.0	7.0	160.0		197.0		156.0			5.0	607.0	2.0		2.0	9.0	2.0	1.0	3.0	1.0		1.0	1.0	1.0		1.0		5.0		2.0			5.0	163.0	555.0	1.0	85.0	911.0	3.0	2.0	5.0	119.0	73.0	49.0	71.0	1.0	9.0	2.0	61.0	9.0	4.0	4.0			2.0	
NC_060945.1	2::NC_060945.1:41610271-41617888(+)	7617	False	0.5897	0			1.0	65.0						4.0		61.0		19.0	911.0	3.0		163.0	65.0			197.0	117.0	2.0	5.0	1.0	157.0		8.0	2.0	606.0	114.0	8.0	4.0	5.0	1.0	7.0	3.0	1.0					5.0														4.0			
NC_060937.1	1::NC_060937.1:1302045-1307583(+)	5538	False	0.2176	0	3.0	16.0	80.0	3.0	29.0	5.0	140.0	1.0			30.0	1.0	58.0	14.0	13.0	3.0	3.0	9.0		47.0	15.0	110.0	48.0	14.0				1.0	2.0		17.0	30.0	94.0		1.0			1.0	1.0	30.0			56.0	65.0	2.0		3.0					143.0		136.0	1.0	306.0		306.0	4.0	5.0	
NC_060937.1	3::NC_060937.1:13673369-13678517(+)	5148	False	0.663	0	6.0	2.0	10.0	8.0	4.0	69.0	4.0	4.0	49.0	42.0	2.0	2.0	5.0	5.0	25.0		4.0	110.0	1.0	12.0	82.0	10.0	22.0	6.0	191.0	16.0	4.0	114.0	9.0	1.0	46.0	53.0	100.0	62.0	14.0	152.0	70.0	15.0	34.0	22.0	32.0	45.0	13.0	6.0	16.0	122.0	8.0	10.0	2.0	13.0		2.0	25.0		12.0	2.0	2.0	1.0	3.0	15.0	
NC_060937.1	-3::NC_060937.1:13673413-13678828(-)	5415	False	0.6534	0	3.0	5.0	7.0	14.0	4.0	6.0	4.0	26.0	44.0	15.0	28.0	5.0	28.0	173.0		3.0	28.0	29.0	7.0	4.0	10.0	6.0	11.0	1.0	42.0	14.0	60.0	38.0	29.0		9.0	55.0	49.0	15.0	12.0	27.0	3.0	97.0	41.0	54.0	132.0	103.0	8.0	32.0	207.0	72.0	16.0	4.0	50.0	2.0	2.0	1.0	124.0		30.0	3.0		7.0	3.0	2.0	1.0
NC_060943.1	-1::NC_060943.1:16062466-16067851(-)	5385	False	0.5768	0	27.0	86.0	1.0	2.0	92.0	335.0	1.0	1.0	115.0	2.0	107.0		179.0	4.0	2.0	6.0	104.0	2.0	1.0	86.0	1.0	1.0		3.0		2.0	5.0	1.0	65.0		1.0	2.0	33.0		3.0	2.0	1.0	4.0	1.0	5.0	10.0	145.0		1.0		27.0	86.0	107.0	1.0	4.0			61.0		3.0		66.0		1.0		
NC_060943.1	-2::NC_060943.1:16062735-16067886(-)	5151	False	0.5785	0	24.0	84.0			86.0	330.0			110.0	1.0	103.0		180.0	1.0	3.0		97.0		3.0	85.0	1.0			1.0	2.0	3.0	2.0		66.0		1.0	1.0	25.0					1.0		9.0	10.0	142.0		1.0		24.0	87.0	103.0		2.0			55.0		1.0		71.0		2.0		
NC_060943.1	1::NC_060943.1:56998926-57004200(+)	5274	False	0.5876	1	41.0	54.0	1.0	2.0	40.0	3.0	1.0	1.0	106.0	202.0	8.0	11.0	60.0	62.0	149.0	29.0		1.0	53.0	59.0		58.0	1.0	1.0	34.0	56.0	5.0	17.0	20.0	2.0	67.0	2.0	57.0	3.0	134.0	101.0	41.0	5.0		60.0	2.0	25.0		3.0	1.0	55.0	2.0	13.0	2.0	16.0		2.0	2.0	2.0	67.0	12.0		1.0	3.0	1.0	2.0
NC_060943.1	1::NC_060943.1:61634235-61640661(+)	6426	False	0.5955	2	17.0	7.0	1.0	2.0	30.0	170.0	2.0	11.0	265.0	3.0	5.0		103.0	96.0	4.0	2.0	121.0	37.0	16.0	89.0	7.0	5.0	9.0	10.0	10.0	6.0	18.0	114.0	45.0	5.0	2.0	8.0	94.0	9.0	2.0	2.0	8.0	3.0	2.0	23.0	1.0	139.0	96.0	140.0	2.0	12.0	37.0	67.0	8.0	109.0		6.0	6.0	5.0	91.0	1.0	7.0	3.0	38.0	3.0	8.0
NC_060943.1	3::NC_060943.1:61634819-61640612(+)	5793	False	0.5861	1	36.0	8.0	1.0		95.0	196.0	2.0	2.0	171.0		5.0		15.0	14.0	3.0	1.0	189.0	90.0	37.0	11.0	1.0	1.0	8.0	12.0	5.0	1.0		41.0	92.0			2.0	13.0	2.0				1.0	1.0	33.0	1.0	151.0	13.0	152.0			70.0	175.0	1.0	22.0		1.0	2.0	4.0	127.0	1.0	1.0	3.0	114.0		4.0
NC_060936.1	2::NC_060936.1:2251543-2257381(+)	5838	False	0.4515	0	1.0	3.0	2.0	1.0		2.0	1.0	1.0	1.0	1.0	175.0	1.0	161.0	1.0			179.0	73.0	4.0	1.0		190.0		1.0			1.0	295.0	19.0				152.0				1.0			31.0				1.0		1.0		192.0		41.0	4.0	185.0		1.0	15.0	15.0		1.0	1.0	191.0	
NC_060936.1	1::NC_060936.1:131622648-131629353(+)	6705	False	0.5393	0	130.0			1.0	402.0	168.0		2.0	3.0	1.0	108.0	27.0		1.0		336.0	62.0		1.0	1.0	1.0	3.0	3.0	1.0	2.0				16.0	6.0	107.0		355.0	23.0	3.0	205.0		79.0	5.0			1.0	2.0	2.0		48.0	1.0	39.0	15.0	2.0		1.0	5.0	36.0	3.0	4.0	21.0				3.0
NC_060936.1	2::NC_060936.1:131622820-131629414(+)	6594	False	0.5391	0	126.0	1.0	2.0	1.0	371.0	158.0		2.0	1.0	2.0	93.0	38.0		1.0	3.0	326.0	73.0			1.0		5.0		2.0					27.0	3.0	94.0	2.0	383.0	14.0	1.0	206.0	2.0	64.0	2.0	1.0		3.0	3.0			44.0		50.0	13.0	2.0	1.0		2.0	32.0	6.0	10.0	24.0		1.0	2.0	
NC_060936.1	3::NC_060936.1:131623112-131629325(+)	6213	False	0.5414	0	141.0				344.0	172.0			1.0		94.0	23.0	1.0			311.0	59.0				2.0	2.0		2.0					27.0	3.0	95.0	3.0	334.0	23.0	1.0	201.0		58.0	6.0			4.0	1.0	3.0	2.0	37.0	1.0	43.0	11.0				3.0	43.0	3.0	4.0	13.0				
NC_060936.1	3::NC_060936.1:132290033-132296255(+)	6222	False	0.6138	2	7.0	46.0		1.0	10.0	50.0	1.0	8.0	264.0	9.0	3.0	1.0	1.0	6.0		6.0	220.0		11.0	50.0	3.0	3.0	2.0	5.0	53.0	1.0	79.0	3.0	7.0	2.0	4.0	3.0	11.0	1.0	3.0	6.0	2.0	4.0	5.0	85.0	3.0	91.0	82.0	217.0	29.0	88.0	40.0	135.0	34.0	60.0		13.0	25.0	73.0	14.0	46.0	17.0	48.0	3.0	34.0	46.0
NC_060936.1	3::NC_060936.1:133004969-133010465(+)	5496	False	0.7134	2			1.0	107.0		1.0	5.0	1.0	3.0	100.0	2.0		2.0	193.0	95.0	10.0	2.0	4.0	211.0		1.0	3.0	98.0			231.0	573.0	1.0			83.0	1.0	4.0	4.0				1.0	1.0	3.0		1.0	3.0	1.0		1.0		1.0		2.0		1.0			4.0			2.0	75.0		
