clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_TGC	codon_CAT	codon_AAT	codon_AAG	codon_TCT	codon_CTC	codon_AAA	codon_AAC	codon_CCC	codon_TGG	codon_ACT	codon_GTA	codon_TCA	codon_AGG	codon_GGT	codon_TGT	codon_CAC	codon_GAT	codon_GGA	codon_ATT	codon_AGC	codon_AGT	codon_GAA	codon_TTT	codon_GGC	codon_GAG	codon_GGG	codon_GAC	codon_GCT	codon_CGT	codon_GTG	codon_ATG	codon_CTG	codon_GCG	codon_TTG	codon_GTC	codon_GTT	codon_GCA	codon_ATC	codon_ACC	codon_CCT	codon_AGA	codon_TAT	codon_CAA	codon_ATA	codon_TTC	codon_ACA	codon_TGA	codon_TAG	codon_CGG	codon_CGA	codon_TCG	codon_CAG	codon_TAC	codon_CCA	codon_TAA	codon_GCC	codon_TCC	codon_CTT	codon_ACG	codon_CGC	codon_TTA	codon_CCG	codon_CTA
NC_060945.1	3::NC_060945.1:41607428-41614955	7527	False	0.5892	0	2.0	3.0	5.0	114.0	2.0	1.0	5.0	3.0	1.0	4.0	1.0	92.0	1.0	7.0	537.0	7.0	1.0	108.0	117.0	1.0	1.0	113.0	61.0	1.0	5.0	4.0	104.0	2.0	4.0	1.0	1019	163.0	8.0	4.0	2.0	1.0	2.0	1.0	1.0																									
NC_060945.1	-2::NC_060945.1:41607447-41617941	10494	False	0.5876	0	9.0			59.0			8.0	1.0		941.0	3.0	48.0		124.0	541.0	10.0	1.0	121.0	95.0	4.0	3.0	124.0	66.0	1.0	8.0	121.0	96.0	4.0	7.0	2.0	604	108.0	6.0	3.0	2.0	1.0	12.0	4.0	1.0	1.0	1.0	3.0	1.0	3.0	6.0	1.0	4.0	241.0	91.0	1.0	4.0	2.0	1.0											
NC_060945.1	-3::NC_060945.1:41607470-41617934	10464	False	0.5879	0	8.0	3.0	5.0	113.0	1.0		4.0	3.0		558.0		91.0		74.0	539.0	12.0	1.0	109.0	142.0	1.0	1.0	113.0	62.0	1.0	5.0	70.0	106.0	2.0	4.0	1.0	1019	164.0	9.0	4.0	9.0	1.0	2.0	1.0	1.0				2.0	1.0				167.0	62.0	1.0	3.0	3.0	8.0	1.0	1.0									
NC_060945.1	-1::NC_060945.1:41607535-41617975	10440	False	0.5884	0	5.0		2.0	71.0			3.0		1.0	555.0	2.0	61.0		73.0	911.0	3.0	1.0	163.0	85.0		1.0	197.0	119.0	3.0	5.0	60.0	160.0		9.0	2.0	607	114.0	9.0	4.0	9.0	1.0	7.0	5.0	2.0			1.0		2.0	4.0	1.0	5.0	156.0	49.0	2.0	1.0	1.0	5.0			2.0	1.0							
NC_060945.1	2::NC_060945.1:41610271-41617888	7617	False	0.5897	0			1.0	65.0						4.0		61.0		19.0	911.0	3.0		163.0	65.0			197.0	117.0	2.0	5.0	1.0	157.0		8.0	2.0	606	114.0	8.0	4.0	5.0	1.0	7.0	3.0	1.0						4.0		5.0																	
NC_060931.1	-1::NC_060931.1:1295463-1304679	9216	False	0.673	1	1.0	2.0	2.0	86.0	2.0	5.0		8.0	1.0	95.0	2.0			231.0	88.0	93.0	90.0	94.0	165.0	2.0	19.0	2.0	104.0		117.0	101.0	714.0	80.0	69.0	1.0	165	85.0	84.0	32.0	3.0	1.0		8.0	1.0	1.0	17.0	14.0		1.0			181.0	161.0		28.0	1.0		89.0	2.0	4.0		16.0	3.0	1.0					
NC_060931.1	-3::NC_060931.1:1295698-1304692	8994	False	0.6755	1				91.0			1.0	12.0		80.0				242.0	93.0	79.0	86.0	80.0	166.0		17.0		87.0	2.0	96.0	105.0	705.0	65.0	77.0	1.0	177	93.0	86.0	30.0			1.0	10.0		1.0	15.0	13.0				1.0	167.0	170.0		32.0			97.0		1.0		16.0	2.0		1.0				
NC_060931.1	-2::NC_060931.1:1295714-1304672	8958	False	0.6765	1	1.0		1.0	80.0				6.0	1.0	87.0				264.0	79.0	85.0	90.0	85.0	178.0		15.0		95.0		106.0	91.0	696.0	77.0	64.0		172	80.0	92.0	28.0				4.0			18.0	14.0					162.0	182.0		30.0			85.0				17.0				1.0			
NC_060931.1	3::NC_060931.1:159805334-159822644	17310	False	0.5444	1	2.0	3.0		12.0	1.0		4.0		1.0	6.0		5.0	1.0		3418.0	16.0	1.0	539.0	379.0			381.0	5.0	1.0	3.0	28.0	6.0	4.0	10.0		124	29.0	19.0				25.0	3.0			1.0	367.0	349.0			1.0	1.0			1.0			2.0	4.0				1.0	2.0	1.0		14.0		
NC_060931.1	1::NC_060931.1:159806178-159822525	16347	False	0.5438	0				4.0						3.0		743.0			4.0						1.0	1.0	1.0			742.0	1.0				2675	884.0	7.0	2.0	6.0		365.0																	1.0						6.0		3.0		
