clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_ACC	codon_TAA	codon_CCC	codon_CCT	codon_AAC	codon_AGA	codon_CTA	codon_GAT	codon_TAT	codon_GCA	codon_TGC	codon_TTG	codon_GGA	codon_ATA	codon_GTG	codon_GAG	codon_GCT	codon_TTA	codon_TTT	codon_ATT	codon_TAG	codon_ATG	codon_CAT	codon_TGG	codon_GAA	codon_AGC	codon_CTT	codon_ACT	codon_GGG	codon_AAT	codon_AGT	codon_AAA	codon_GGC	codon_GTA	codon_CCA	codon_TCT	codon_TGT	codon_TCG	codon_TCC	codon_TTC	codon_ACA	codon_CGC	codon_CAA	codon_ATC	codon_TAC	codon_CAC	codon_CTC	codon_CTG	codon_TCA	codon_GTT	codon_CCG	codon_CAG	codon_CGA	codon_GAC	codon_CGT	codon_GTC	codon_GCG	codon_GCC	codon_ACG	codon_AAG	codon_GGT	codon_AGG	codon_CGG	codon_TGA
NC_072001.2	-1::NC_072001.2:4793-11297	6504	False	0.4998	0	1.0	121.0	120.0	963.0	962.0	1.0																																																										
NC_072001.2	1::NC_072001.2:4794-11343	6549	False	0.499	0	962.0			121.0	122.0		964.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																																												
NC_072001.2	-2::NC_072001.2:5518-11338	5820	False	0.4993	0	1.0	963.0	962.0														2.0			1.0	3.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0																																				
NC_072001.2	3::NC_072001.2:5519-11354	5835	False	0.4991	0				963.0	962.0	1.0			1.0		2.0	1.0	1.0				1.0	2.0				1.0				1.0	3.0		1.0	1.0	1.0	1.0	1.0	1.0																														
NC_072001.2	1::NC_072001.2:3341385-3347082	5697	False	0.3906	0	13.0		5.0	24.0	2.0	4.0	10.0	2.0	25.0	18.0	22.0	22.0	2.0	6.0			1.0	16.0	45.0	252.0		4.0	247.0	1.0	3.0	2.0	31.0	15.0		27.0	10.0	10.0		3.0	227.0	26.0	5.0	5.0	246.0	251.0	74.0	3.0	22.0	8.0	27.0	56.0	8.0	6.0	36.0	27.0	9.0	5.0	4.0	2.0	15.0	3.0	2.0	1.0	5.0	2.0	1.0	1.0		
NC_072001.2	1::NC_072001.2:4225704-4230798	5094	False	0.3958	0	4.0		4.0	27.0	5.0	7.0	9.0	4.0	16.0	12.0	16.0	21.0		11.0			2.0	12.0	37.0	225.0		4.0	223.0	2.0	1.0		19.0	18.0		20.0	3.0	7.0			204.0	11.0	3.0	8.0	217.0	263.0	65.0	4.0	12.0	12.0	11.0	65.0	11.0		27.0	29.0	9.0	6.0	3.0	1.0	14.0	2.0	2.0	4.0	6.0					
NC_072001.2	3::NC_072001.2:4335980-4341869	5889	False	0.3916	0	8.0		6.0	25.0	5.0	4.0	8.0	8.0	14.0	19.0	17.0	28.0		14.0	2.0		2.0	18.0	37.0	265.0		7.0	252.0		4.0		41.0	23.0		27.0	1.0	8.0		3.0	226.0	15.0	5.0	3.0	257.0	279.0	84.0	3.0	26.0	13.0	16.0	81.0	10.0	4.0	38.0	11.0	6.0	4.0	3.0	2.0	14.0	5.0		2.0	8.0	1.0			1.0	
NC_072001.2	-3::NC_072001.2:5047851-5052879	5028	False	0.4012	0		18.0		1.0	25.0	15.0		14.0	7.0	22.0	23.0	24.0	206.0	17.0	84.0	16.0	1.0		5.0	23.0	18.0	197.0	7.0	174.0	233.0	2.0	2.0	4.0	10.0	206.0	17.0	47.0	3.0	16.0		1.0	72.0	8.0		1.0	7.0	2.0	9.0	2.0		3.0		5.0		2.0		5.0	1.0	1.0	12.0	5.0	2.0	1.0	22.0	24.0	9.0	18.0	5.0	22.0
NC_072001.2	3::NC_072001.2:5503754-5508818	5064	False	0.3851	0	10.0		5.0	17.0	2.0		7.0	4.0	15.0	14.0	16.0	12.0		4.0			1.0	27.0	46.0	238.0		2.0	208.0		1.0		27.0	13.0		28.0	4.0	11.0		2.0	214.0	21.0	6.0	3.0	216.0	261.0	60.0	5.0	19.0	7.0	11.0	68.0	8.0	4.0	24.0	15.0	7.0	4.0	6.0	1.0	7.0	1.0	1.0		4.0		1.0			
NC_072001.2	2::NC_072001.2:5521318-5526382	5064	False	0.3851	0	10.0		5.0	17.0	2.0		7.0	4.0	15.0	14.0	16.0	12.0		4.0			1.0	27.0	46.0	238.0		2.0	208.0		1.0		27.0	13.0		28.0	4.0	11.0		2.0	214.0	21.0	6.0	3.0	216.0	261.0	60.0	5.0	19.0	7.0	11.0	68.0	8.0	4.0	24.0	15.0	7.0	4.0	6.0	1.0	7.0	1.0	1.0		4.0		1.0			
NC_072001.2	-1::NC_072001.2:7190336-7195532	5196	False	0.4024	0		12.0		1.0	16.0	22.0		10.0	16.0	25.0	17.0	25.0	241.0	21.0	57.0	8.0			7.0	18.0	9.0	212.0	7.0	188.0	246.0	4.0		4.0	11.0	222.0	14.0	39.0	3.0	12.0		5.0	67.0	2.0			4.0		18.0	9.0	1.0	2.0		6.0		5.0		1.0	2.0	4.0	9.0	2.0	2.0	2.0	21.0	28.0	9.0	29.0	15.0	22.0
NC_072001.2	-3::NC_072001.2:7192098-7197762	5664	False	0.4077	0	1.0	14.0		2.0	32.0	10.0		15.0	6.0	19.0	18.0	22.0	246.0	15.0	83.0	7.0			4.0	15.0	17.0	221.0	4.0	221.0	270.0	5.0	4.0	3.0	9.0	242.0	20.0	47.0	2.0	18.0		5.0	67.0	10.0	1.0	4.0	5.0	1.0	21.0	4.0	3.0	1.0		7.0		5.0	2.0	2.0	7.0	5.0	9.0	3.0	9.0	1.0	20.0	38.0	10.0	17.0	11.0	28.0
NC_072001.2	-3::NC_072001.2:7197765-7203228	5463	False	0.4064	0	1.0	16.0		1.0	28.0	10.0		7.0	6.0	17.0	18.0	25.0	242.0	11.0	76.0	4.0	1.0		6.0	19.0	11.0	204.0	7.0	225.0	259.0	5.0	3.0	4.0	13.0	248.0	17.0	38.0	1.0	19.0	1.0	5.0	59.0	8.0	1.0	3.0	5.0	1.0	17.0	6.0	3.0			6.0		5.0	1.0	2.0	8.0	4.0	9.0	3.0	6.0	1.0	24.0	43.0	7.0	16.0	9.0	26.0
NC_072001.2	2::NC_072001.2:7329286-7334527	5241	False	0.3908	0	8.0		9.0	17.0	4.0	1.0	7.0	5.0	20.0	19.0	12.0	7.0		9.0			2.0	19.0	44.0	245.0		1.0	208.0	1.0	4.0		34.0	14.0		30.0	4.0	9.0			214.0	12.0	2.0	6.0	244.0	241.0	72.0	2.0	19.0	16.0	19.0	77.0	11.0	3.0	32.0	10.0	6.0	4.0	2.0	3.0	11.0	4.0		1.0	2.0		1.0			
NC_072001.2	-2::NC_072001.2:7396474-7401691	5217	False	0.4023	1		20.0	1.0	1.0	21.0	18.0		13.0	10.0	18.0	17.0	21.0	241.0	18.0	66.0	16.0			6.0	20.0	11.0	220.0	5.0	213.0	237.0	1.0	2.0	4.0	10.0	212.0	21.0	51.0	2.0	17.0		1.0	59.0	2.0			6.0		11.0	2.0	2.0			3.0		2.0		2.0	10.0	2.0	9.0	1.0	4.0		18.0	30.0	8.0	23.0	6.0	25.0
NC_072001.2	3::NC_072001.2:8297720-8302874	5154	False	0.3954	0	14.0		8.0	22.0	6.0		18.0	3.0	17.0	8.0	14.0	10.0	1.0	17.0			2.0	13.0	41.0	216.0		6.0	217.0		2.0		29.0	11.0		26.0	4.0	5.0			200.0	20.0		4.0	227.0	255.0	75.0	2.0	33.0	10.0	13.0	75.0	8.0	3.0	25.0	15.0	6.0	5.0	5.0	3.0	11.0	2.0		8.0	3.0					
NC_072001.2	-1::NC_072001.2:32344880-32357606	12726	False	0.6707	1	2.0	1.0		2.0		2.0		128.0	4.0	1.0	2.0	4.0	279.0	4.0	526.0	251.0	107.0		3.0	1.0	1.0	122.0		281.0	93.0	5.0	2.0	11.0	930.0		3.0	1.0	112.0	2.0	2.0	7.0	285.0	1.0		1.0	1.0		1.0			1.0		122.0		4.0		4.0	2.0	16.0	1.0	8.0	2.0	1.0	2.0	86.0	265.0	333.0	2.0	215.0
NC_072001.2	-2::NC_072001.2:32345332-32357440	12108	False	0.6721	1						1.0		117.0	4.0			2.0	251.0	2.0	506.0	237.0	105.0		3.0		1.0	117.0	1.0	274.0	85.0			6.0	893.0		2.0		105.0			5.0	270.0				1.0		1.0		1.0			124.0						12.0		6.0			4.0	93.0	241.0	349.0	3.0	214.0
NC_072001.2	-3::NC_072001.2:32349327-32357496	8169	False	0.6678	1				1.0		1.0		80.0		1.0		1.0	173.0		341.0	168.0	74.0					83.0	1.0	166.0	72.0	1.0		11.0	594.0		1.0	1.0	72.0	2.0	1.0	1.0	179.0			1.0	1.0							79.0		2.0		1.0		6.0	1.0	4.0	2.0			76.0	158.0	222.0		145.0
NC_072001.2	-2::NC_072001.2:94846624-94852288	5664	False	0.5724	1		1.0			31.0	12.0		161.0		4.0	3.0	2.0	274.0		109.0	28.0	7.0			2.0	2.0	19.0	3.0	19.0	16.0	7.0	1.0	1.0	8.0	10.0	227.0	1.0	33.0	22.0		1.0	14.0	1.0			19.0		1.0		1.0			1.0		10.0		2.0	2.0	87.0	21.0	6.0			1.0	1.0	708.0	4.0	1.0	4.0
NC_072001.2	2::NC_072001.2:104367583-104373439	5856	False	0.5632	1	185.0		176.0	82.0	2.0		23.0	1.0	64.0	83.0	80.0	2.0	3.0	88.0	26.0	7.0	3.0		1.0	2.0		17.0	48.0	2.0	1.0	2.0	4.0	5.0	3.0		2.0	1.0		18.0	80.0	2.0	26.0		4.0	2.0	277.0	18.0	3.0	3.0	74.0	386.0	3.0	70.0	4.0	2.0	14.0	4.0	1.0		21.0	2.0	13.0	2.0	2.0	4.0		4.0		
NC_072001.2	3::NC_072001.2:104367713-104373053	5340	False	0.5627	1	172.0		175.0	75.0	1.0	2.0	19.0		58.0	78.0	70.0	1.0		93.0	26.0	1.0			1.0			17.0	63.0	1.0		2.0		1.0						16.0	78.0	1.0	26.0		1.0		257.0	14.0	1.0		68.0	345.0	2.0	56.0	2.0		19.0	1.0		2.0	14.0		11.0	5.0	3.0		1.0	1.0		
NC_072001.2	1::NC_072001.2:104367831-104373477	5646	False	0.5641	1	157.0		182.0	87.0	2.0	1.0	19.0		46.0	74.0	83.0			94.0	18.0	1.0	1.0		1.0	1.0		23.0	61.0	2.0	2.0		1.0	4.0	1.0			1.0		24.0	77.0	4.0	18.0		6.0	1.0	282.0	12.0		2.0	84.0	376.0	1.0	60.0			21.0	2.0			24.0	2.0	16.0	4.0	2.0	1.0	1.0			
NC_072001.2	-1::NC_072001.2:105323240-105328715	5475	False	0.5089	0												3.0									768.0								11.0									19.0		1.0										120.0			1.0								789.0	96.0	17.0	
NC_072001.2	1::NC_072001.2:105323241-105328716	5475	False	0.5087	0												7.0				1.0		95.0						3.0					120.0					1.0				1.0		18.0										788.0											4.0	768.0	19.0	
NC_072001.2	-3::NC_072001.2:105324162-105330237	6075	False	0.5001	0																					51.0								1.0																					962.0											50.0	961.0		
NC_072001.2	2::NC_072001.2:105324163-105330238	6075	False	0.4999	0																		961.0	1.0										961.0																					50.0											1.0	51.0		
NW_026946739.1	-1::NW_026946739.1:205245-214887	9642	False	0.76	2	115.0	116.0	352.0	118.0	1.0	116.0		3.0	1.0	117.0	117.0		4.0	3.0	6.0	117.0	116.0			2.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	2.0	696.0	1.0		1.0	118.0	1.0	2.0	118.0	1.0	2.0	118.0		1.0	118.0		4.0	1.0	3.0	118.0	120.0			116.0	116.0	116.0	1.0	1.0	1.0	1.0	1.0	2.0		2.0	118.0		1.0
NW_026946739.1	3::NW_026946739.1:205343-214961	9618	False	0.7614	2			236.0	234.0		116.0	116.0	3.0	2.0		3.0		1.0	1.0	119.0	2.0	3.0			1.0		1.0	1.0	121.0		1.0	1.0	1.0	350.0	1.0	2.0	1.0	232.0	1.0	1.0	1.0		116.0	2.0	2.0		1.0	1.0	1.0	1.0	115.0	117.0	4.0	116.0	1.0	4.0	118.0		1.0	4.0	118.0	116.0	348.0		116.0	2.0	233.0	117.0	
NW_026946739.1	2::NW_026946739.1:205354-214798	9444	False	0.7641	2	1.0		348.0	116.0				1.0	1.0	1.0	116.0		1.0			233.0	117.0			1.0						231.0			579.0				1.0		116.0	1.0	2.0	1.0	1.0	1.0	1.0	115.0	116.0				232.0	117.0	116.0				1.0				118.0	117.0		116.0	230.0			
NC_072005.2	3::NC_072005.2:3940337-3946946	6609	False	0.5134	1	109.0		57.0	53.0	1.0		5.0		6.0					57.0									100.0				49.0	1.0			55.0				156.0	4.0	2.0		106.0	53.0	517.0			54.0	49.0	583.0	2.0	1.0	58.0	1.0	3.0	56.0			6.0	54.0		2.0	3.0					
NC_072005.2	1::NC_072005.2:3940956-3947022	6066	False	0.5132	1	102.0		57.0	48.0			6.0		6.0		1.0			53.0				1.0	1.0				88.0				44.0	2.0			49.0				143.0	6.0			95.0	45.0	478.0		1.0	48.0	48.0	528.0	1.0		51.0	1.0	1.0	49.0			6.0	61.0			1.0			1.0		
NC_072005.2	1::NC_072005.2:4573635-4580682	7047	False	0.5709	1	98.0		314.0	127.0	4.0	3.0	94.0	5.0	1.0	1.0	8.0	1.0	2.0	6.0	1.0	1.0	4.0			48.0		1.0	77.0	1.0	3.0	61.0	2.0	35.0		63.0	2.0	1.0	1.0		139.0	134.0	5.0	1.0	161.0	65.0	57.0	6.0	92.0	84.0	100.0	100.0	200.0	8.0	67.0	1.0	14.0	55.0	4.0	3.0	7.0	14.0		60.0		1.0	2.0	3.0	1.0	
NC_072005.2	3::NC_072005.2:4573724-4580960	7236	False	0.5687	1	86.0		314.0	141.0	5.0	3.0	100.0	2.0	3.0	7.0	8.0	1.0	8.0		4.0	8.0	1.0	1.0	2.0	66.0		8.0	79.0	3.0	4.0	49.0	1.0	29.0	3.0	60.0	3.0	4.0	3.0	2.0	206.0	132.0	3.0	2.0	141.0	58.0	57.0	7.0	66.0	109.0	105.0	78.0	188.0	12.0	57.0	2.0	13.0	66.0	5.0	5.0	11.0	13.0		52.0	5.0	5.0		4.0	2.0	
NC_072005.2	-1::NC_072005.2:8984121-9000780	16659	False	0.4887	2	53.0	35.0	65.0	60.0	59.0	321.0		111.0	62.0		89.0	57.0	267.0	22.0	44.0	52.0	164.0		80.0	64.0	26.0	67.0	170.0	151.0	51.0	90.0	58.0	107.0	92.0	70.0	265.0	55.0	101.0	16.0	36.0	72.0	396.0	3.0	76.0	164.0		9.0	73.0	75.0	32.0	141.0	168.0	71.0		48.0	7.0	94.0	14.0	77.0	35.0	103.0	5.0	40.0	3.0	73.0	330.0	208.0	5.0	271.0
NC_072005.2	-1::NC_072005.2:9005064-9014835	9771	False	0.4921	2	28.0	23.0	48.0	30.0	37.0	168.0		47.0	27.0	1.0	80.0	20.0	113.0	12.0	27.0	55.0	91.0		38.0	41.0	17.0	32.0	71.0	121.0	30.0	69.0	40.0	95.0	65.0	40.0	178.0	37.0	59.0	11.0	29.0	56.0	235.0		75.0	90.0		3.0	50.0	46.0	25.0	40.0	92.0	42.0		41.0	2.0	43.0	7.0	57.0	14.0	40.0	1.0	37.0	3.0	46.0	164.0	98.0	10.0	160.0
NC_072005.2	-2::NC_072005.2:19797770-19804265	6495	False	0.6419	1	1.0		2.0	2.0	2.0	422.0		2.0	1.0	4.0		1.0	298.0		3.0	716.0	1.0		1.0	2.0	3.0	3.0		4.0	4.0	2.0	1.0	5.0	310.0	1.0	3.0	3.0	4.0	1.0	5.0	1.0	1.0		5.0		8.0	1.0	1.0	4.0		2.0	2.0	5.0		4.0	1.0	8.0	3.0			3.0	1.0	5.0		2.0	1.0	297.0	1.0	2.0
NC_072005.2	2::NC_072005.2:19797850-19804060	6210	False	0.6457	1						423.0			1.0	1.0	1.0		293.0		1.0	712.0	2.0		1.0				1.0			1.0		1.0	311.0	1.0	2.0	1.0	1.0	3.0	1.0	1.0					2.0				1.0	1.0			1.0		2.0	3.0	1.0	1.0		1.0				2.0	1.0	294.0	1.0	
NC_072005.2	-1::NC_072005.2:19797873-19804044	6171	False	0.6471	1			1.0		1.0	421.0				2.0		1.0	290.0			717.0									1.0	1.0			306.0			2.0	2.0	1.0			1.0		1.0					1.0							1.0	3.0						1.0	1.0		3.0	298.0		1.0
NC_072005.2	1::NC_072005.2:19797903-19804245	6342	False	0.6427	1			2.0	1.0	1.0	424.0		1.0		2.0		2.0	292.0		1.0	716.0		3.0				1.0	1.0	4.0	2.0	2.0	1.0		307.0		1.0	4.0	3.0	1.0	4.0	1.0	4.0		1.0	2.0	1.0		1.0	2.0	1.0	2.0	2.0	1.0	3.0	1.0	1.0	5.0		1.0	1.0	1.0		1.0	2.0	1.0	5.0	298.0		
NC_072005.2	-3::NC_072005.2:19797913-19804219	6306	False	0.643	1	1.0		2.0		2.0	424.0		1.0	1.0	2.0	1.0	1.0	294.0		2.0	712.0	2.0		1.0		1.0	1.0	4.0	2.0	1.0	1.0		1.0	311.0		3.0	2.0	2.0	4.0	1.0	4.0	1.0		1.0		2.0		1.0		2.0	2.0	2.0			1.0		2.0	1.0	1.0		2.0				3.0	1.0	293.0	2.0	1.0
NC_072005.2	-1::NC_072005.2:43253046-43276110	23064	False	0.4577	0	1.0	1.0	1.0					765.0	1.0	1.0	1.0	1.0	1.0		1.0		255.0		1.0	3.0	1.0	3.0	2.0	1.0		74.0	1.0	771.0		768.0	193.0	2.0	1.0						1.0		1529.0			1.0		794.0		1.0		1.0		1.0		1428.0			1.0		765.0		312.0	2.0		2.0
