clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_CCT	codon_AAC	codon_ACC	codon_CTA	codon_CCC	codon_GGG	codon_TTA	codon_GTT	codon_AGG	codon_GTA	codon_GGT	codon_TTT	codon_CAA	codon_TGG	codon_TTC	codon_TCG	codon_CCA	codon_GGC	codon_CTG	codon_TCT	codon_GTC	codon_CTT	codon_CTC	codon_ATC	codon_TGT	codon_GTG	codon_GAC	codon_TCC	codon_ACT	codon_GCC	codon_CAT	codon_TGC	codon_CGT	codon_CCG	codon_GCA	codon_TAC	codon_TCA	codon_ACA	codon_GAA	codon_GAT	codon_TTG	codon_CAG	codon_ACG	codon_CGA	codon_CGC	codon_GCT	codon_AGC	codon_CGG	codon_ATT	codon_AAA	codon_AGA	codon_GCG	codon_GAG	codon_GGA	codon_ATG	codon_AAG	codon_TAT	codon_CAC	codon_ATA	codon_AAT	codon_AGT
NC_072427.2	-2::NC_072427.2:161694177-161704566(-)	10389	False	0.5002	0	245.0	244.0	1487.0	1486.0	1.0																																																								
NC_072427.2	2::NC_072427.2:161694178-161704567(+)	10389	False	0.5001	0						245.0	244.0	1486.0	1486.0	1.0	1.0																																																		
NC_072426.2	-1::NC_072426.2:167239072-167250001(-)	10929	False	0.5	0	167.0	168.0	1653.0	1654.0	1.0																																																								
NC_072426.2	3::NC_072426.2:167239073-167250002(+)	10929	False	0.5	0						167.0	167.0	1653.0	1654.0		1.0	1.0																																																	
NC_072430.2	-3::NC_072430.2:153280257-153291897(-)	11640	False	0.5001	0	421.0	421.0	1518.0	1518.0	1.0								1.0																																																
NC_072430.2	2::NC_072430.2:153280258-153291898(+)	11640	False	0.5	0						420.0	421.0	1518.0	1518.0		2.0			1.0																																															
NC_072448.2	-3::NC_072448.2:7243394-7270601(-)	27207	False	0.4928	0	22.0	1.0	3.0	1.0	3.0	11.0		3.0			7.0	93.0	1.0	6.0	88.0	2.0	182.0	1.0	1053.0	2257.0	1056.0	98.0	1147.0	173.0	1753.0	699.0	2.0	189.0	4.0	5.0	175.0	6.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0										
NC_072448.2	1::NC_072448.2:7243476-7270779(+)	27303	False	0.4928	0	3.0	1.0	6.0	2.0	10.0	3.0		2.0	25.0		3.0	3.0	1.0	175.0	5.0	1.0	8.0	8.0	1.0	1.0	4.0	1.0	1.0	2.0	1.0	4.0	1045.0	3.0	2.0	2.0	2.0	1.0	2.0	3.0	5.0	1.0	6.0	1746.0	96.0	177.0		1066.0	3.0	5.0	1.0	1.0	3.0	1.0	1.0	88.0	2273.0	2.0	1128.0	194.0	173.0	95.0	1.0	701.0	1.0	1.0	1.0
NC_072448.2	-1::NC_072448.2:7243525-7270459(-)	26934	False	0.4923	0	15.0		1.0		3.0	7.0		1.0			7.0	92.0	1.0	7.0	94.0	1.0	172.0		1045.0	2254.0	1051.0	86.0	1132.0	175.0	1734.0	706.0	1.0	189.0		4.0	178.0	4.0	2.0	3.0	1.0		1.0	1.0			1.0	2.0		2.0			1.0		1.0					1.0		1.0		1.0			
NC_072448.2	-2::NC_072448.2:7243611-7270485(-)	26874	False	0.4919	0	19.0	1.0	1.0		2.0	7.0					5.0	85.0		6.0	93.0		174.0		1061.0	2259.0	1042.0	93.0	1117.0	177.0	1742.0	700.0	1.0	190.0		2.0	171.0	3.0		1.0											1.0						1.0							2.0	1.0		1.0
NC_072448.2	3::NC_072448.2:7243625-7270745(+)	27120	False	0.4922	0		1.0	9.0		9.0	1.0			19.0	1.0	2.0	3.0		178.0		2.0	9.0	3.0	1.0		2.0	2.0	2.0	2.0			1055.0		1.0	1.0	2.0	1.0		1.0	5.0	1.0	2.0	1753.0	91.0	172.0		1053.0	2.0	2.0		2.0	2.0	1.0		92.0	2255.0	1.0	1145.0	184.0	174.0	97.0		696.0	1.0	1.0	1.0
NC_072448.2	2::NC_072448.2:7243639-7270552(+)	26913	False	0.4919	0		1.0	7.0		5.0	2.0			13.0		1.0			171.0			7.0	4.0									1052.0								3.0		1.0	1734.0	94.0	174.0		1047.0	1.0	1.0				1.0		92.0	2263.0		1136.0	189.0	178.0	86.0		707.0			1.0
NC_072424.2	-1::NC_072424.2:1203-13038(-)	11835	False	0.5	0						73.0	73.0	1899.0	1899.0		1.0																																																		
NC_072424.2	2::NC_072424.2:1204-13039(+)	11835	False	0.5001	0	73.0	73.0	1899.0	1899.0	1.0																																																								
NC_072424.2	-2::NC_072424.2:1568-12965(-)	11397	False	0.5	0						1899.0	1899.0				1.0																																																		
NC_072424.2	1::NC_072424.2:1569-12966(+)	11397	False	0.5001	0	1899.0	1899.0			1.0																																																								
NC_072437.2	-3::NC_072437.2:120300020-120310838(-)	10818	False	0.5003	0	1.0	1.0	1801.0	1801.0	2.0																																																								
NC_072437.2	1::NC_072437.2:120300021-120310839(+)	10818	False	0.5002	0						2.0	1.0	1801.0	1801.0		1.0																																																		
NC_072437.2	-2::NC_072437.2:120300027-120311058(-)	11031	False	0.5001	0	1832.0	1832.0	6.0	6.0	1.0																																																								
NC_072437.2	2::NC_072437.2:120300028-120311059(+)	11031	False	0.5	0						1832.0	1832.0	6.0	6.0		1.0																																																		
NC_072441.2	3::NC_072441.2:158-11927(+)	11769	False	0.4998	0	43.0	42.0	1915.0	1916.0	1.0																														1.0	1.0		1.0												1.0					1.0					1.0	
NC_072441.2	-2::NC_072441.2:208-11956(-)	11748	False	0.4995	0						39.0	40.0	1913.0	1912.0		2.0	1.0									1.0				1.0															1.0						2.0			1.0	1.0								1.0		1.0	
NC_072441.2	-3::NC_072441.2:441-11973(-)	11532	False	0.4993	0						1911.0	1912.0				1.0	1.0		1.0					3.0	1.0	1.0					2.0												2.0			2.0									1.0				1.0	1.0	1.0	1.0		1.0	1.0	
NC_072441.2	2::NC_072441.2:442-11914(+)	11472	False	0.4999	0	1912.0	1911.0																																																1.0											
NC_072441.2	-3::NC_072441.2:80570022-80586390(-)	16368	False	0.5706	1	55.0	9.0	19.0	1.0	13.0	252.0	15.0	5.0	63.0	2.0	303.0	36.0	221.0	14.0	5.0	89.0	56.0	576.0	5.0	797.0	6.0	6.0	1.0	6.0	33.0	6.0	16.0	329.0	16.0	3.0	308.0	9.0	75.0	1.0	8.0	74.0	315.0	19.0	25.0	25.0	13.0	343.0	9.0	86.0	40.0	22.0	294.0	13.0	3.0	19.0	25.0	1.0	82.0	215.0	1.0	12.0	126.0	198.0	2.0	17.0	118.0
NC_072441.2	-1::NC_072441.2:146695433-146713406(-)	17973	False	0.5001	0	1400.0	1400.0	1595.0	1595.0	1.0																																																								
NC_072441.2	1::NC_072441.2:146695434-146713407(+)	17973	False	0.5	0						1400.0	1400.0	1595.0	1595.0		1.0																																																		
NC_072439.2	-2::NC_072439.2:106244456-106255763(-)	11307	False	0.5001	0	73.0	73.0	1810.0	1810.0	2.0																																													1.0											
NC_072439.2	1::NC_072439.2:106244457-106255764(+)	11307	False	0.5	0						73.0	73.0	1810.0	1810.0		2.0																														1.0																				
NC_072439.2	-1::NC_072439.2:106244535-106255398(-)	10863	False	0.5001	0	1810.0	1810.0			1.0																																																								
NC_072439.2	2::NC_072439.2:106244536-106255399(+)	10863	False	0.5	0						1810.0	1810.0				1.0																																																		
NC_072433.2	-1::NC_072433.2:1798-13666(-)	11868	False	0.5161	0						1591.0	1399.0	386.0	385.0		1.0																										193.0																			1.0					
NC_072433.2	3::NC_072433.2:1799-13667(+)	11868	False	0.5162	0	1591.0	1399.0	385.0	385.0	1.0		1.0																				193.0		1.0																																
NC_072447.2	3::NC_072447.2:158205572-158215793(+)	10221	False	0.725	1	118.0		3.0		95.0	233.0		1.0	96.0	1.0	44.0	11.0	1.0	109.0	93.0	5.0	54.0	300.0	5.0	32.0	2.0	96.0	187.0	1.0		60.0	78.0	181.0	65.0	89.0	7.0	15.0	2.0	124.0	80.0		91.0	2.0		41.0		127.0	64.0	25.0	72.0	95.0	1.0	205.0	8.0		144.0	113.0	75.0	43.0	19.0	1.0		92.0	1.0		
NC_072443.2	-3::NC_072443.2:36413199-36425472(-)	12273	False	0.7279	1	108.0	1.0	7.0	1.0	104.0	282.0		3.0	108.0	2.0	48.0	8.0	1.0	55.0	162.0	7.0	52.0	376.0	11.0	52.0		135.0	219.0	2.0	3.0	36.0	85.0	195.0	106.0	91.0	10.0	19.0	2.0	158.0	120.0	2.0	96.0	3.0	1.0	31.0	3.0	162.0	85.0	4.0	94.0	104.0	6.0	287.0	5.0		141.0	174.0	119.0	66.0	32.0			106.0			1.0
NC_072443.2	-3::NC_072443.2:95081058-95091126(-)	10068	False	0.5023	0	1660.0	1660.0	7.0	6.0	11.0												1.0																											11.0																	
NC_072443.2	2::NC_072443.2:95081059-95091127(+)	10068	False	0.5022	0						1660.0	1660.0	7.0	6.0		12.0																																					11.0													
NC_072443.2	-1::NC_072443.2:95081159-95092469(-)	11310	False	0.5001	0	224.0	224.0	1660.0	1660.0	1.0								1.0																																																
NC_072443.2	1::NC_072443.2:95081160-95092470(+)	11310	False	0.5	0						223.0	224.0	1660.0	1660.0		2.0			1.0																																															
NC_072431.2	3::NC_072431.2:73473386-73492376(+)	18990	False	0.7127	2	180.0	5.0	25.0	4.0	209.0	435.0	8.0	8.0	206.0	12.0	101.0	21.0	1.0	157.0	191.0	21.0	60.0	448.0	30.0	83.0	14.0	264.0	266.0	6.0	6.0	120.0	129.0	309.0	117.0	194.0	19.0	45.0	14.0	197.0	160.0	8.0	190.0	11.0		26.0		291.0	106.0	30.0	172.0	137.0	8.0	382.0	23.0		254.0	204.0	142.0	90.0	38.0	4.0	4.0	137.0			8.0
NC_072431.2	-3::NC_072431.2:73854899-73866491(-)	11592	False	0.7185	2	125.0		5.0	1.0	104.0	256.0		6.0	110.0	1.0	54.0	8.0	3.0	105.0	126.0	2.0	52.0	324.0	14.0	45.0	5.0	115.0	200.0			62.0	66.0	211.0	79.0	103.0	10.0	17.0	7.0	124.0	104.0	1.0	105.0	2.0	3.0	40.0	6.0	167.0	70.0	21.0	97.0	97.0	4.0	222.0	10.0		156.0	140.0	106.0	49.0	28.0	1.0		90.0			5.0
NC_072436.2	-2::NC_072436.2:124951166-124961546(-)	10380	False	0.5028	0	1573.0	1590.0	137.0	128.0	4.0																								1.0					17.0					1.0					8.0																1.0	
