clade	species	start	end	gc_content	gc_stretch_count
NC_072001.2	-1::NC_072001.2:32344880-32357606	0	60	0.6667	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	30	90	0.7333	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	60	120	0.7167	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	90	150	0.7	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	120	180	0.6833	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	150	210	0.6833	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	180	240	0.7	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	210	270	0.6333	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	240	300	0.65	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	270	330	0.7	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	300	360	0.7	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	330	390	0.6833	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	360	420	0.6667	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	390	450	0.6833	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	420	480	0.65	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	450	510	0.6167	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	480	540	0.6667	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	510	570	0.6833	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	540	600	0.6667	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	570	630	0.7	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	600	660	0.7167	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	630	690	0.6833	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	660	720	0.65	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	690	750	0.6833	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	720	780	0.7167	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	750	810	0.6833	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	780	840	0.6667	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	810	870	0.6833	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	840	900	0.7	1
NC_072001.2	-1::NC_072001.2:32344880-32357606	870	930	0.6833	1
