clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_AGC	codon_AAC	codon_CAC	codon_TGG	codon_GTC	codon_ACA	codon_CCC	codon_AAG	codon_ACG	codon_TCA	codon_TCC	codon_AGG	codon_GCA	codon_CTC	codon_TAC	codon_AGT	codon_TTG	codon_ATA	codon_AAA	codon_TAT	codon_CTG	codon_CGA	codon_TTT	codon_CAG	codon_GGT	codon_GCT	codon_GAA	codon_GCC	codon_TTC	codon_CCA	codon_TGC	codon_TTA	codon_GTG	codon_ACC	codon_TGT	codon_GAC	codon_CAT	codon_CTT	codon_ATC	codon_CCT	codon_TCT	codon_CGC	codon_CAA	codon_ACT	codon_AGA	codon_GGC	codon_TCG	codon_CGT	codon_CCG	codon_AAT	codon_CTA	codon_GTA	codon_ATG	codon_ATT	codon_GAT	codon_GAG	codon_GGG	codon_GTT	codon_GGA	codon_GCG	codon_CGG
NC_072001.2	-1::NC_072001.2:32344880-32357606(-)	12726	False	0.6707	1	107.0	4.0	526.0	2.0	16.0	285.0	930.0	2.0	1.0	215.0	279.0	2.0	2.0	251.0	2.0	11.0	1.0	4.0	3.0	4.0	4.0	1.0	1.0	122.0	2.0	5.0	1.0	112.0	93.0	281.0	1.0	1.0	1.0	265.0	1.0	8.0	122.0	86.0	128.0	333.0	2.0	2.0	4.0	3.0	7.0	1.0	2.0	2.0	2.0	1.0	1.0										
NC_072001.2	-2::NC_072001.2:32345332-32357440(-)	12108	False	0.6721	1	105.0		506.0		12.0	270.0	893.0			214.0	251.0			237.0		6.0	1.0	4.0	3.0	2.0				124.0				105.0	85.0	274.0				241.0	1.0	6.0	117.0	93.0	117.0	349.0	1.0		2.0	2.0	5.0			4.0	3.0		1.0	1.0	1.0								
NC_072001.2	-3::NC_072001.2:32349327-32357496(-)	8169	False	0.6678	1	74.0	2.0	341.0	1.0	6.0	179.0	594.0		1.0	145.0	173.0	1.0		168.0	2.0	11.0					1.0		1.0	79.0		1.0	1.0	72.0	72.0	166.0	1.0			158.0	1.0	4.0	83.0	76.0	80.0	222.0	1.0	2.0	1.0	1.0	1.0								1.0								
NC_072001.2	1::NC_072001.2:45618624-45628863(+)	10239	False	0.5128	2	99.0	42.0	64.0	33.0	34.0	66.0	70.0	79.0	5.0	70.0	72.0	98.0	61.0	52.0	18.0	78.0	55.0	18.0	67.0	20.0	81.0	9.0	47.0	153.0	38.0	85.0	133.0	76.0	38.0	103.0	36.0	38.0	58.0	57.0	40.0	73.0	51.0	44.0	29.0	116.0	117.0	5.0	63.0	75.0	60.0	63.0	10.0	9.0	12.0	66.0	26.0	32.0	50.0	26.0	91.0	143.0	52.0	43.0	53.0	7.0	4.0
NC_072001.2	2::NC_072001.2:46440679-46449346(+)	8667	False	0.5577	2	67.0	20.0	29.0	30.0	36.0	60.0	90.0	140.0	9.0	57.0	59.0	33.0	51.0	47.0	23.0	36.0	22.0	7.0	76.0	20.0	85.0	12.0	20.0	84.0	23.0	76.0	131.0	96.0	32.0	116.0	13.0	21.0	64.0	47.0	13.0	96.0	21.0	37.0	39.0	102.0	58.0	21.0	30.0	47.0	25.0	60.0	5.0	16.0	15.0	21.0	31.0	19.0	30.0	16.0	72.0	222.0	66.0	18.0	46.0	6.0	25.0
NW_026946739.1	-1::NW_026946739.1:205245-214887(-)	9642	False	0.76	2	116.0		6.0	2.0	1.0	1.0	696.0	1.0	1.0	1.0	4.0	118.0	117.0	117.0	1.0	2.0		1.0		3.0	116.0	2.0	1.0	120.0	115.0	1.0		118.0	1.0	3.0	117.0	116.0	3.0	2.0	1.0	1.0	1.0		3.0	118.0	116.0	1.0			118.0	1.0	116.0	2.0		2.0	1.0	1.0	1.0	1.0	4.0	118.0	352.0	1.0	118.0	118.0	116.0
NW_026946739.1	3::NW_026946739.1:205343-214961(+)	9618	False	0.7614	2	1.0		115.0	121.0	118.0		236.0	116.0		116.0	2.0	233.0		117.0	1.0	2.0		1.0	1.0	2.0	4.0			118.0	2.0	3.0		348.0	2.0	1.0	3.0		119.0			1.0	1.0	1.0	1.0	234.0	1.0	1.0	1.0	1.0	116.0	232.0	116.0	4.0	4.0	1.0	116.0	1.0	1.0	1.0	3.0	2.0	350.0	1.0	1.0	116.0	117.0
NW_026946739.1	2::NW_026946739.1:205354-214798(+)	9444	False	0.7641	2	231.0					1.0	348.0	116.0		116.0	1.0		1.0	232.0						1.0	117.0	1.0			230.0	117.0		117.0	1.0	116.0	116.0			1.0	2.0					116.0	1.0	115.0	116.0			1.0	1.0							1.0	1.0	233.0	579.0		1.0	118.0	
NC_072005.2	-1::NC_072005.2:8984121-9000780(-)	16659	False	0.4887	2	164.0	48.0	44.0	36.0	77.0	396.0	92.0	58.0	35.0	271.0	267.0	60.0	89.0	52.0	16.0	107.0	73.0	62.0	80.0	22.0	94.0	3.0	55.0	71.0	53.0	90.0	164.0	101.0	51.0	151.0		35.0	141.0	330.0		103.0	67.0	73.0	111.0	208.0	321.0	5.0	57.0	265.0	72.0	40.0	14.0	3.0	5.0	64.0	26.0	32.0	170.0	70.0	75.0	168.0	65.0	59.0	76.0	9.0	7.0
NC_072005.2	-1::NC_072005.2:9005064-9014835(-)	9771	False	0.4921	2	91.0	41.0	27.0	29.0	57.0	235.0	65.0	40.0	14.0	160.0	113.0	30.0	80.0	55.0	11.0	95.0	50.0	27.0	38.0	12.0	43.0		37.0	42.0	28.0	69.0	90.0	59.0	30.0	121.0	1.0	23.0	40.0	164.0		40.0	32.0	46.0	47.0	98.0	168.0	1.0	20.0	178.0	56.0	37.0	7.0	3.0	10.0	41.0	17.0	25.0	71.0	40.0	46.0	92.0	48.0	37.0	75.0	3.0	2.0
NC_072005.2	-1::NC_072005.2:18481428-18492363(-)	10935	False	0.5923	2	120.0	41.0	53.0	44.0	53.0	47.0	129.0	83.0	23.0	65.0	157.0	70.0	63.0	39.0	49.0	54.0	41.0	23.0	33.0	31.0	106.0	15.0	17.0	179.0	52.0	72.0	22.0	175.0	30.0	199.0	32.0	14.0	151.0	99.0	33.0	52.0	48.0	22.0	44.0	53.0	98.0	26.0	53.0	79.0	36.0	90.0	10.0	8.0	46.0	24.0	49.0	28.0	101.0	22.0	25.0	121.0	72.0	31.0	37.0	27.0	29.0
NC_072005.2	-1::NC_072005.2:43253046-43276110(-)	23064	False	0.4577	0	255.0	1.0	1.0		1428.0			1.0		2.0	1.0		1.0			771.0		1.0	1.0		1.0		2.0	1.0	1.0	74.0		1.0		1.0	1.0	1.0	794.0	312.0	1529.0		3.0		765.0	2.0		1.0	1.0	193.0				765.0		3.0	1.0		2.0	768.0	1.0		1.0		1.0		
NC_072005.2	1::NC_072005.2:43253085-43276101(+)	23016	False	0.4581	0	74.0		794.0	1.0		1529.0	1.0		765.0			1.0	1.0			193.0			1.0		1.0		1.0	1.0	312.0	255.0							1.0	1.0		1428.0	1.0	1.0	1.0					771.0		1.0				766.0			3.0	2.0	765.0					1.0	
NC_072005.2	2::NC_072005.2:43253116-43276084(+)	22968	False	0.4582	0						1653.0			567.0	1.0			75.0	29.0							234.0	765.0	1.0	691.0							1.0		502.0	1.0					765.0				838.0		1.0	1.0			1.0		763.0	2.0	765.0								
